               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.019185,           0.0053303,                   0,             0.99363,              0.9964,             0.99383,              0.7297,            0.021559,           0.0039207,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018927,           0.0052571,                   0,             0.99442,              0.9952,             0.99424,             0.72917,            0.021463,           0.0039454,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018848,           0.0052279,                   0,             0.99461,             0.99631,              0.9941,             0.73241,             0.02148,           0.0039457,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.01906,           0.0052838,                   0,             0.99343,             0.99744,             0.99394,             0.73054,            0.021511,           0.0039332,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018602,           0.0052631,                   0,             0.99477,              0.9958,             0.99417,             0.73125,            0.021506,           0.0039324,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018536,           0.0052312,                   0,             0.99459,              0.9976,             0.99411,             0.72944,            0.021478,           0.0039072,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.018343,           0.0052054,                   0,             0.99563,               0.997,             0.99386,             0.73077,            0.021448,           0.0039588,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01832,           0.0051982,                   0,               0.997,             0.99712,             0.99381,             0.73412,            0.021341,           0.0039569,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017875,           0.0051886,                   0,              0.9964,             0.99506,             0.99369,             0.73327,            0.021229,           0.0039204,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.017996,           0.0052349,                   0,             0.99521,              0.9967,             0.99395,             0.72946,            0.021508,           0.0039412,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.017801,           0.0050352,                   0,             0.99414,              0.9976,             0.99396,             0.73157,            0.021405,           0.0039436,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.017542,           0.0050954,                   0,             0.99529,               0.997,             0.99387,             0.73255,            0.021477,           0.0039554,                   0,            0.000496,            0.000496,            0.000496
